"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"1",1,"Patrick Mahomes II",KC,"QB1","10","3 out of 5 stars","-"
"2",1,"Justin Jefferson",MIN,"WR1","13","3 out of 5 stars","-"
"3",1,"Jalen Hurts",PHI,"QB2","10","3 out of 5 stars","-"
"4",1,"Josh Allen",BUF,"QB3","13","3 out of 5 stars","-"
"5",1,"Ja'Marr Chase",CIN,"WR2","7","4 out of 5 stars","-"
"6",2,"Christian McCaffrey",SF,"RB1","9","4 out of 5 stars","-"
"7",2,"Tyreek Hill",MIA,"WR3","10","3 out of 5 stars","-"
"8",2,"Lamar Jackson",BAL,"QB4","13","3 out of 5 stars","-"
"9",2,"Travis Kelce",KC,"TE1","10","4 out of 5 stars","-"
"10",2,"Stefon Diggs",BUF,"WR4","13","2 out of 5 stars","-"
"11",3,"Joe Burrow",CIN,"QB5","7","3 out of 5 stars","-"
"12",3,"Austin Ekeler",LAC,"RB2","5","3 out of 5 stars","-"
"13",3,"Justin Fields",CHI,"QB6","13","5 out of 5 stars","-"
"14",3,"Justin Herbert",LAC,"QB7","5","3 out of 5 stars","-"
"15",3,"CeeDee Lamb",DAL,"WR5","7","2 out of 5 stars","-"
"16",3,"Amon-Ra St. Brown",DET,"WR6","9","3 out of 5 stars","-"
"17",3,"A.J. Brown",PHI,"WR7","10","3 out of 5 stars","-"
"18",3,"Davante Adams",LV,"WR8","13","2 out of 5 stars","-"
"19",3,"Saquon Barkley",NYG,"RB3","13","2 out of 5 stars","-"
"20",4,"Garrett Wilson",NYJ,"WR9","7","3 out of 5 stars","-"
"21",4,"Bijan Robinson",ATL,"RB4","11","4 out of 5 stars","-"
"22",4,"Trevor Lawrence",JAC,"QB8","9","3 out of 5 stars","-"
"23",4,"Tony Pollard",DAL,"RB5","7","3 out of 5 stars","-"
"24",4,"Cooper Kupp",LAR,"WR10","10","3 out of 5 stars","-"
"25",4,"Nick Chubb",CLE,"RB6","5","3 out of 5 stars","-"
