NAME,TM,POS,VAL,VRK,ECR,ADP
Travis Kelce,KC/10,T1/1,8.8,1.01,2.01,1.05
Justin Jefferson,MIN/13,W1/1,8.6,1.02,1.03,1.01
Ja'Marr Chase,CIN/7,W2/1,8,1.03,1.05,1.03
Patrick Mahomes II,KC/10,Q1/1,7.9,1.04,1.01,3.01
Tyreek Hill,MIA/10,W3/1,7.7,1.05,1.07,1.06
Jalen Hurts,PHI/10,Q2/1,7.6,1.06,1.02,3.06
Christian McCaffrey,SF/9,R1/1,7.6,1.07,1.06,1.02
Josh Allen,BUF/13,Q3/1,7.5,1.08,1.04,3.05
Austin Ekeler,LAC/5,R2/1,7.4,2.01,2.03,1.04
Cooper Kupp,LAR/10,W4/1,6.9,2.02,2.08,1.07
CeeDee Lamb,DAL/7,W5/1,6.7,2.03,2.07,2.05
Stefon Diggs,BUF/13,W6/1,6.2,2.04,2.04,2.02
Davante Adams,LV/13,W7/1,6.1,2.05,3.04,2.04
Lamar Jackson,BAL/13,Q4/1,5.9,2.06,1.08,5.02
Joe Burrow,CIN/7,Q5/1,5.8,2.07,2.02,5.04
Amon-Ra St. Brown,DET/9,W8/1,5.3,2.08,3.01,3.04
Tony Pollard,DAL/7,R3/1,4.9,3.01,3.08,3.02
Saquon Barkley,NYG/13,R4/1,4.9,3.02,3.03,1.08
Justin Fields,CHI/13,Q6/1,4.6,3.03,2.05,6.05
A.J. Brown,PHI/10,W9/1,4.6,3.04,3.02,2.06
Derrick Henry,TEN/7,R5/1,4.6,3.05,4.05,2.08
Bijan Robinson,ATL/11,R6/1,4.4,3.06,3.07,2.01
Nick Chubb,CLE/5,R7/1,4.4,3.07,4.01,2.03
Josh Jacobs,LV/13,R8/1,4.3,3.08,4.04,2.07
Garrett Wilson,NYJ/7,W10/1,4.2,4.01,3.05,3.03
Justin Herbert,LAC/5,Q7/1,4.1,4.02,2.06,6.02
Jaylen Waddle,MIA/10,W11/2,4.1,4.03,4.02,3.07
Mark Andrews,BAL/13,T2/1,3.9,4.04,6.01,4.05
Chris Olave,NO/11,W12/1,3.7,4.05,4.03,3.08
Deshaun Watson,CLE/5,Q8/1,3.6,4.06,4.08,10.06
T.J. Hockenson,MIN/13,T3/1,3.6,4.07,8.08,6.06
Joe Mixon,CIN/7,R9/1,3.4,4.08,5.06,5.01
Tee Higgins,CIN/7,W13/2,3.4,5.01,5.03,4.03
DK Metcalf,SEA/5,W14/1,3.4,5.02,5.07,4.07
DeVonta Smith,PHI/10,W15/2,3.2,5.03,4.06,4.01
Aaron Jones,GB/6,R10/1,3.2,5.04,6.08,5.06
Keenan Allen,LAC/5,W16/1,3.2,5.05,5.02,6.03
Calvin Ridley,JAC/9,W17/1,3,5.06,5.08,5.03
Daniel Jones,NYG/13,Q9/1,3,5.07,4.07,15.03
Dak Prescott,DAL/7,Q10/1,2.9,5.08,5.01,11.05
Kirk Cousins,MIN/13,Q11/1,2.9,6.01,6.02,14.02
Trevor Lawrence,JAC/9,Q12/1,2.9,6.02,3.06,7.06
Amari Cooper,CLE/5,W18/1,2.8,6.03,6.04,6.01
Deebo Samuel,SF/9,W19/1,2.8,6.04,7.02,5.07
Rhamondre Stevenson,NE/11,R11/1,2.8,6.05,5.05,4.06
Geno Smith,SEA/5,Q13/1,2.7,6.06,6.03,15.07
Christian Watson,GB/6,W20/1,2.7,6.07,8.02,7.07
Darren Waller,NYG/13,T4/1,2.5,6.08,9.04,7.03
Chris Godwin,TB/5,W21/1,2.4,7.01,7.06,9.03
George Kittle,SF/9,T5/1,2.2,7.02,11.05,6.08
Najee Harris,PIT/6,R12/1,2.1,7.03,6.07,4.02
Aaron Rodgers,NYJ/7,Q14/1,2.1,7.04,7.03,12.08
DeAndre Hopkins,TEN/7,W22/1,2.1,7.05,7.05,7.04
DJ Moore,CHI/13,W23/1,2.1,7.06,7.04,7.02
Mike Evans,TB/5,W24/2,2.1,7.07,9.08,10.05
Mike Williams,LAC/5,W25/2,2,7.08,8.07,7.08
Terry McLaurin,WAS/14,W26/1,2,8.01,8.04,7.05
Travis Etienne Jr.,JAC/9,R13/1,1.9,8.02,7.01,4.04
Christian Kirk,JAC/9,W27/2,1.9,8.03,9.02,10.04
Russell Wilson,DEN/9,Q15/1,1.9,8.04,8.06,18.08
Tua Tagovailoa,MIA/10,Q16/1,1.8,8.05,5.04,11.08
Tyler Lockett,SEA/5,W28/2,1.8,8.06,8.03,9.05
James Conner,ARI/14,R14/1,1.7,8.07,11.01,8.06
Diontae Johnson,PIT/6,W29/1,1.7,8.08,8.01,10.03
Jared Goff,DET/9,Q17/1,1.7,9.01,7.08,17.07
Drake London,ATL/11,W30/1,1.6,9.02,7.07,9.04
Jahmyr Gibbs,DET/9,R15/1,1.6,9.03,6.06,4.08
Alexander Mattison,MIN/13,R16/1,1.5,9.04,10.02,8.07
Dallas Goedert,PHI/10,T6/1,1.4,9.05,12.02,8.04
Marquise Brown,ARI/14,W31/1,1.4,9.06,9.07,11.06
Kyle Pitts,ATL/11,T7/1,1.4,9.07,12.05,8.03
Anthony Richardson,IND/11,Q18/1,1.3,9.08,6.05,15.05
Michael Pittman Jr.,IND/11,W32/1,1.2,10.01,9.05,10.08
Brandon Aiyuk,SF/9,W33/2,1.2,10.02,8.05,9.07
Dameon Pierce,HOU/7,R17/1,1.2,10.03,9.03,6.07
Jerry Jeudy,DEN/9,W34/1,1.1,10.04,10.05,9.02
Kenneth Walker III,SEA/5,R18/1,1.1,10.05,9.06,6.04
Rachaad White,TB/5,R19/1,1.1,10.06,10.08,9.01
Breece Hall,NYJ/7,R20/1,0.8,10.07,9.01,5.08
Evan Engram,JAC/9,T8/1,0.7,10.08,15.01,10.07
Jahan Dotson,WAS/14,W35/2,0.7,11.01,10.03,11.07
Pat Freiermuth,PIT/6,T9/1,0.7,11.02,15.03,12.03
Miles Sanders,CAR/7,R21/1,0.6,11.03,10.01,7.01
George Pickens,PIT/6,W36/2,0.4,11.04,11.04,11.01
J.K. Dobbins,BAL/13,R22/1,0.3,11.05,10.07,8.02
Derek Carr,NO/11,Q19/1,0.3,11.06,10.04,20.06
Brandin Cooks,DAL/7,W37/2,0.3,11.07,12.07,12.04
JuJu Smith-Schuster,NE/11,W38/1,0.3,11.08,13.08,14.01
James Cook,BUF/13,R23/1,0.2,12.01,12.01,9.06
David Montgomery,DET/9,R24/2,0.1,12.02,13.01,11.04
Kenny Pickett,PIT/6,Q20/1,0.1,12.03,10.06,21.05
Courtland Sutton,DEN/9,W39/2,0.1,12.04,12.04,13.02
Gabe Davis,BUF/13,W40/2,0.1,12.05,12.08,13.07
Jordan Addison,MIN/13,W41/2,0,12.06,11.07,12.01
Isiah Pacheco,KC/10,R25/1,0,12.07,14.02,9.08
Dalton Schultz,HOU/7,T10/1,0,12.08,18.03,15.04
Brock Purdy,SF/9,Q21/1,0,13.01,11.08,21.07
