player_id,name,position,team,adp,times_drafted,high,low,stdev,bye
2462,Patrick Mahomes,QB,KC,1.7,253,1,6,1,5
4876,Justin Jefferson,WR,MIN,2.4,134,1,7,1.4,6
2885,Josh Allen,QB,BUF,2.7,282,1,7,1,7
5025,Jalen Hurts,QB,PHI,3.3,445,1,7,1.3,10
2434,Christian McCaffrey,RB,SF,4.9,261,1,11,1.8,8
1989,Travis Kelce,TE,KC,7,125,1,18,2.4,5
4882,Joe Burrow,QB,CIN,7.2,290,2,18,2.1,6
5177,Ja'Marr Chase,WR,CIN,8.4,367,1,15,2.8,6
2888,Lamar Jackson,QB,BAL,8.6,420,1,18,2.8,13
2390,Tyreek Hill,WR,MIA,8.7,197,2,16,2.5,6
2625,Austin Ekeler,RB,LAC,9.1,226,3,19,2.3,7
4887,Justin Herbert,QB,LAC,11.3,328,4,21,3,7
5191,Justin Fields,QB,CHI,13.6,273,6,24,2.7,10
2449,Cooper Kupp,WR,LAR,13.7,186,6,20,2.8,11
2863,Nick Chubb,RB,CLE,14.1,299,6,22,3.1,11
5670,Bijan Robinson,RB,ATL,15.2,297,6,25,3.4,11
2316,Stefon Diggs,WR,BUF,16.9,271,10,24,2.6,7
5548,Garrett Wilson,WR,NYJ,17.9,260,9,26,3.3,13
2860,Saquon Barkley,RB,NYG,18.4,309,10,27,3,8
5186,Trevor Lawrence,QB,JAX,19,368,8,31,4.2,7
2350,Derrick Henry,RB,TEN,20.3,244,11,30,3.4,9
4869,CeeDee Lamb,WR,DAL,21.4,266,12,29,3.3,14
3247,A.J. Brown,WR,PHI,23.2,337,15,31,3,10
3435,Tony Pollard,RB,DAL,23.7,472,13,36,3.8,14
5182,Amon-Ra St. Brown,WR,DET,24.1,283,15,33,3.3,6
2125,Davante Adams,WR,LV,25.2,283,17,34,3,13
2377,Dak Prescott,QB,DAL,26.8,125,15,44,4.5,14
3255,Josh Jacobs,RB,LV,27.1,362,18,36,3.1,13
1004,Aaron Rodgers,QB,NYJ,29.1,228,16,44,4.9,13
5544,Chris Olave,WR,NO,29.7,286,22,43,3.1,8
4864,Jonathan Taylor,RB,IND,32.2,37,24,52,5.6,13
4872,Najee Harris,RB,PIT,32.5,166,23,45,4.1,9
4890,Tua Tagovailoa,QB,MIA,32.6,240,19,44,5.2,6
2872,Mark Andrews,TE,BAL,33.2,212,21,47,4.4,13
5178,Jaylen Waddle,WR,MIA,33.8,405,23,48,3.9,6
4870,Tee Higgins,WR,CIN,33.9,204,23,49,4.3,6
4863,Travis Etienne Jr.,RB,JAX,35.6,272,23,53,4.7,7
2438,Joe Mixon,RB,CIN,36,294,24,50,4.4,6
1902,Kirk Cousins,QB,MIN,37.7,228,22,57,5.8,6
5210,Rhamondre Stevenson,RB,NE,39.3,178,28,56,4.3,11
3246,Deebo Samuel Sr.,WR,SF,41,222,28,54,4.8,8
2507,Aaron Jones Sr.,RB,GB,41.9,182,29,57,4.6,11
2277,Amari Cooper,WR,CLE,42.9,186,29,57,5.3,11
3264,Daniel Jones,QB,NYG,43,236,26,56,6.4,8
2444,Deshaun Watson,QB,CLE,43.5,321,24,61,7.3,11
2866,Calvin Ridley,WR,JAX,44.1,516,27,59,6.4,7
1992,Keenan Allen,WR,LAC,44.8,233,32,57,4.8,7
5625,Kenneth Walker III,RB,SEA,45.8,141,33,58,5.2,11
3239,DK Metcalf,WR,SEA,46,271,32,60,5.2,11
5672,Jahmyr Gibbs,RB,DET,47.3,462,32,62,5.7,6
3307,T.J. Hockenson,TE,MIN,48.9,143,35,62,5.3,6
1904,Russell Wilson,QB,DEN,51.5,65,32,65,7.4,10
4883,DeVonta Smith,WR,PHI,51.7,505,32,68,7.4,10
2351,Jared Goff,QB,DET,52.2,201,38,66,5.2,6
4862,D'Andre Swift,RB,PHI,53.1,98,42,75,5.6,10
5632,Dameon Pierce,RB,HOU,53.7,313,39,69,5.5,8
5679,Anthony Richardson Sr.,QB,IND,53.9,233,37,72,6.5,13
5185,Javonte Williams,RB,DEN,55.1,126,41,75,5.1,10
2876,DJ Moore,WR,CHI,59.1,314,43,74,6.1,10
3252,Miles Sanders,RB,CAR,59.2,93,48,73,5.4,5
5503,Breece Hall,RB,NYJ,59.6,206,42,77,6.7,13
2465,Chris Godwin Jr.,WR,TB,60.3,107,46,80,5.6,10
2470,James Conner,RB,ARI,61.1,154,47,75,5.3,14
3458,Alexander Mattison,RB,MIN,61.7,330,44,76,6.6,6
2499,George Kittle,TE,SF,62.8,218,43,83,7.4,8
4888,J.K. Dobbins,RB,BAL,65.2,191,47,83,6.7,13
2118,Derek Carr,QB,NO,66,166,46,89,7.6,8
1980,Geno Smith,QB,SEA,66.8,347,43,85,8.9,11
1975,DeAndre Hopkins,WR,TEN,67,314,48,88,7.1,9
4881,Cam Akers,RB,MIN,67.6,126,50,83,6.5,6
4880,Michael Pittman Jr.,WR,IND,68.7,77,52,90,7.2,13
5181,Kyle Pitts Sr.,TE,ATL,70.3,125,52,92,6.8,11
2439,Alvin Kamara,RB,NO,70.6,280,54,90,6.3,8
2322,Darren Waller,TE,NYG,71,503,45,96,9.7,8
3299,Kyler Murray,QB,ARI,71,38,47,93,8.9,14
3419,Diontae Johnson,WR,PIT,71.8,267,51,89,7.7,9
2432,Dalvin Cook,RB,BAL,73.9,154,58,92,6.1,13
2111,Mike Evans,WR,TB,74.2,152,59,85,5.7,10
3449,Terry McLaurin,WR,WAS,76.1,176,58,93,6.6,7
5626,Rachaad White,RB,TB,77.1,200,60,93,6.3,10
3238,David Montgomery,RB,DET,77.2,159,63,100,6.7,6
2436,Mike Williams,WR,LAC,78.4,195,56,95,8.4,7
1664,Matthew Stafford,QB,LAR,80.8,98,61,96,7.4,11
5337,Isiah Pacheco,RB,KC,81.4,220,63,100,7,5
2896,Dallas Goedert,TE,PHI,81.5,213,59,100,8.5,10
5652,James Cook III,RB,BUF,82.8,396,58,100,9.4,7
2304,Tyler Lockett,WR,SEA,84.6,270,60,105,9.2,11
4861,Jerry Jeudy,WR,DEN,84.6,123,63,98,8.3,10
2870,Christian Kirk,WR,JAX,85.4,191,63,104,8.3,7
5574,Drake London,WR,ATL,87.3,200,65,107,8.4,11
4891,Brandon Aiyuk,WR,SF,88.6,267,63,112,9.5,8
